| Communications | South Sudan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 0 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
| Telephones - mobile cellular: | total subscriptions: 3,439,784 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 33.46 (2019 est.) |
| Telecommunication systems: | general assessment: one of the least developed telecommunications and Internet systems in the world; the international community has provided billions in aid to help the young country, unfortunate instability, widespread poverty and low literacy rate all contribute to a struggle for their telecom sector; the few carriers in the market have reduced the areas in which they offer service, not expanded them; recently the government shut down the largest cellphone carrierÂ isolating 1.4 million customers over a disputed service fee arrangement (2020) |
| Telecommunication systems: | domestic: fixed-line less than 1 per 100 subscriptions, mobile-cellular 33 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 211 (2017) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | a single TV channel and a radio station are controlled by the government; several community and commercial FM stations are operational, mostly sponsored by outside aid donors; some foreign radio broadcasts are available |
| Broadcast media: | (2019) |
| Internet country code: | .ss |
| Internet users: | total: 814,326 |
| Internet users: | percent of population: 7.98% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 200 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
