| Communications | Bolivia |
| --- | --- |
| Telephones - main lines in use: | 810,200 (2009) |
| Telephones - mobile cellular: | 7.148 million (2009) |
| Telephone system: | general assessment: privatization begun in 1995; primary trunk system, which is being expanded, employs digital microwave radio relay; some areas are served by fiber-optic cable; overall reliability has steadily improved |
| Telephone system: | domestic: most telephones are concentrated in La Paz and other cities; mobile-cellular telephone use expanding rapidly and, in 2009, teledensity reached 75 per 100 persons; fixed-line teledensity is low at less than 10 per 100 persons |
| Telephone system: | international: country code - 591; satellite earth station - 1 Intelsat (Atlantic Ocean) (2009) |
| Broadcast media: | large number of radio and television broadcasting stations with private media outlets dominating; state-owned and private radio and television stations generally operating freely, although both pro-government and anti-government groups have attacked media outlets in response to their reporting (2007) |
| Internet country code: | .bo |
| Internet hosts: | 125,462 (2010) |
| Internet users: | 1.103 million (2009) |
