| Communications | BELGIUM |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4.7 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 42 (2014 est.) |
| Telephones - mobile cellular: | total: 12.7 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113 (2014 est.) |
| Telephone system: | general assessment: highly developed, technologically advanced, and completely automated domestic and international telephone and telegraph facilities |
| Telephone system: | domestic: nationwide mobile-cellular telephone system; extensive cable network; limited microwave radio relay network |
| Telephone system: | international: country code - 32; landing point for a number of submarine cables that provide links to Europe, the Middle East, and Asia; satellite earth stations - 7 (Intelsat - 3) (2007) |
| Broadcast media: | a segmented market with the three major communities (Flemish, French, and German-speaking) each having responsibility for their own broadcast media; multiple TV channels exist for each community; additionally, in excess of 90% of households are connected to cable and can access broadcasts of TV stations from neighboring countries; each community has a public radio network co-existing with private broadcasters (2007) |
| Radio broadcast stations: | AM 7, FM 79, shortwave 1 (1998) |
| Television broadcast stations: | 25 (plus 10 repeaters) (1997) |
| Internet country code: | .be |
| Internet users: | total: 9.5 million |
| Internet users: | percent of population: 84.7% (2014 est.) |
