| Communications | Poland |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 8,143,145 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 24 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 49,828,596 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 130 (2017 est.) |
| Telephone system: | general assessment: modernization of the telecommunications network has accelerated with market-based competition; fixed-line service, dominated by the former state-owned company, is dwarfed by the growth in mobile-cellular services; regulatory isÂ framed by EU principles of competition; mobile penetration is above European average; 5G trials begin; LTE-B and VoWi-Fi technologies; launch of 1Gb/s cable services (2018) |
| Telephone system: | domestic: several nation-wide networks provide mobile-cellular service; coverage is generally good; fixed-line 24 per 100 service lags in rural areas, mobile-cellular 130 per 100 persons (2018) |
| Telephone system: | international: country code - 48; landing points for the Baltica and the Denmark-Poland2 submarine cables connecting Poland, Denmark and Sweden; international direct dialing with automated exchanges; satellite earth station - 1 with access to Intelsat, Eutelsat, Inmarsat, and Intersputnik (2019) |
| Broadcast media: | state-run public TV operates 2 national channels supplemented by 16 regional channels and several niche channels; privately owned entities operate several national TV networks and a number of special interest channels; many privately owned channels broadcasting locally; roughly half of all households are linked to either satellite or cable TV systems providing access to foreign television networks; state-run public radio operates 5 national networks and 17 regional radio stations; 2 privately owned national radio networks, several commercial stations broadcasting to multiple cities, and many privately owned local radio stations (2019) |
| Internet country code: | .pl |
| Internet users: | total: 28,237,820 |
| Internet users: | percent of population: 73.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 7,053,333 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 18 (2017 est.) |
