| Communications | VANUATU |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,267 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (July 2016 est.) |
| Telephones - mobile cellular: | total: 192,167 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 69 (July 2016 est.) |
| Telephone system: | general assessment: telecom services have progressed significantly in recent years; mobile phones are now the primary means of communication and more than 90% of the population is covered by a mobile network |
| Telephone system: | domestic: 2016 saw the launch of LTE services by Digicel and the introduction of rural satellite broadband services by Kacific; mobile phone use in some rural areas is constrained by electricity shortages |
| Telephone system: | international: country code - 678; satellite earth station - 1 Intelsat (Pacific Ocean) (2016) |
| Broadcast media: | 1 state-owned TV station; multi-channel pay TV is available; state-owned Radio Vanuatu operates 2 radio stations; 2 privately owned radio broadcasters; programming from multiple international broadcasters is available (2008) |
| Internet country code: | .vu |
| Internet users: | total: 66,613 |
| Internet users: | percent of population: 24.0% (July 2016 est.) |
