| Communications | Moldova |
| --- | --- |
| Telephones - main lines in use: | 1.115 million (2008) |
| Telephones - mobile cellular: | 2.423 million (2008) |
| Telephone system: | general assessment: inadequate, outmoded, poor service outside Chisinau; some modernization is under way |
| Telephone system: | domestic: depending on location, new subscribers may face long wait for service; multiple private operators of GSM mobile-cellular telephone service are operating; GPRS system is being introduced; a CDMA mobile telephone network began operations in 2007; combined fixed-line and mobile-cellular teledensity 85 per 100 persons |
| Telephone system: | international: country code - 373; service through Romania and Russia via landline; satellite earth stations - at least 3 (Intelsat, Eutelsat, and Intersputnik) (2008) |
| Radio broadcast stations: | AM 2, FM 29, shortwave NA (2006) |
| Television broadcast stations: | 40 (2006) |
| Internet country code: | .md |
| Internet hosts: | 367,150 (2009) |
| Internet users: | 850,000 (2008) |
