| Communications | TIMOR-LESTE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,720 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 1.377 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 112 (July 2015 est.) |
| Telephone system: | general assessment: rudimentary service in urban and some rural areas, which is expanding with the entrance of new competitors |
| Telephone system: | domestic: system suffered significant damage during the violence associated with independence; limited fixed-line services; mobile-cellular services have been expanding and are now available in urban and most rural areas |
| Telephone system: | international: country code - 670; international service is available (2015) |
| Broadcast media: | 1 public TV broadcast station broadcasting nationally and 1 public radio broadcaster with stations in each of the 13 administrative districts; 1 commercial TV broadcast station, 3 commercial radio stations, and roughly 20 community radio stations (2012) |
| Internet country code: | .tl |
| Internet users: | total: 165,000 |
| Internet users: | percent of population: 13.4% (July 2015 est.) |
