| Communications | GUATEMALA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,718,851 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (July 2015 est.) |
| Telephones - mobile cellular: | total: 18.121 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 121 (July 2015 est.) |
| Telephone system: | general assessment: fairly modern network centered in the city of Guatemala |
| Telephone system: | domestic: state-owned telecommunications company privatized in the late 1990s opened the way for competition; fixed-line teledensity roughly 10 per 100 persons; fixed-line investments are being concentrated on improving rural connectivity; mobile-cellular teledensity about 120 per 100 persons |
| Telephone system: | international: country code - 502; landing point for both the Americas Region Caribbean Ring System (ARCOS-1) and the SAM-1 fiber-optic submarine cable system that, together, provide connectivity to South and Central America, parts of the Caribbean, and the US; connected to Central American Microwave System; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | 4 privately owned national terrestrial TV channels dominate TV broadcasting; multi-channel satellite and cable services are available; 1 government-owned radio station and hundreds of privately owned radio stations (2007) |
| Internet country code: | .gt |
| Internet users: | total: 4.043 million |
| Internet users: | percent of population: 27.1% (July 2015 est.) |
