| Communications | GEORGIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1.1 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 22 (2014 est.) |
| Telephones - mobile cellular: | total: 5.4 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 109 (2014 est.) |
| Telephone system: | general assessment: fixed-line telecommunications network has limited coverage outside Tbilisi; multiple mobile-cellular providers provide services to an increasing subscribership throughout the country |
| Telephone system: | domestic: cellular telephone networks cover the entire country; mobile-cellular teledensity roughly 100 per 100 people; intercity facilities include a fiber-optic line between T'bilisi and K'ut'aisi |
| Telephone system: | international: country code - 995; the Georgia-Russia fiber-optic submarine cable provides connectivity to Russia; international service is available by microwave, landline, and satellite through the Moscow switch; international electronic mail and telex service are available (2011) |
| Broadcast media: | 1 public broadcaster in Tbilisi, 1 state-owned broadcaster in Ajaria Autonomous Republic; 8 privately owned TV stations; state run public broadcaster operates 2 TV stations; dozens of cable TV operators, several major commercial TV stations, and several dozen private radio stations; state run public broadcaster operates 2 radio stations (2012) |
| Radio broadcast stations: | AM 7, FM 12, shortwave 4 (1998) |
| Television broadcast stations: | 12 (plus repeaters) (1998) |
| Internet country code: | .ge |
| Internet users: | total: 2.5 million |
| Internet users: | percent of population: 50.6% (2014 est.) |
