| Communications | Congo, Republic of the |
| --- | --- |
| Telephones - main lines in use: | 9,800 (2010) |
| Telephones - mobile cellular: | 3.799 million (2010) |
| Telephone system: | general assessment: primary network consists of microwave radio relay and coaxial cable with services barely adequate for government use; key exchanges are in Brazzaville, Pointe-Noire, and Loubomo; intercity lines frequently out of order |
| Telephone system: | domestic: fixed-line infrastructure inadequate providing less than 1 connection per 100 persons; in the absence of an adequate fixed line infrastructure, mobile-cellular subscribership has surged and now exceeds 50 per 100 persons |
| Telephone system: | international: country code - 242; satellite earth station - 1 Intelsat (Atlantic Ocean) (2009) |
| Broadcast media: | 1 state-owned TV and 3 state-owned radio stations; several privately-owned TV and radio stations; satellite TV service is available; rebroadcasts of several international broadcasters are available (2007) |
| Internet country code: | .cg |
| Internet hosts: | 42 (2010) |
| Internet users: | 245,200 (2009) |
