| Communications | Bahamas, The |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 78,439 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 23.4 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 366,217 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 109.25 (2019 est.) |
| Telecommunication systems: | general assessment: the telecom sector across the Caribbean continues to be a growth area, contributing to the country's overall GDP; totally automatic system; highly developed; operators focus investment on mobile networks; the activation of (mobile number portability) MNP in April 2017, allowing mobile subscribers to port their numbers between competing MNO (mobile network operators) has contributed to the competition and liberalization of the market (2020) |
| Telecommunication systems: | domestic: 23 per 100 fixed-line, 109 per 100 mobile-cellular (2019) |
| Telecommunication systems: | international: country code - 1-242; landing points for the ARCOS-1, BICS, Bahamas 2-US, and BDSN fiber-optic submarine cables that provide links to South and Central America, parts of the Caribbean, and the US; satellite earth stations - 2; the Bahamas Domestic Submarine Network links all of the major islands; (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | The Bahamas has 4 major TV providers that provide service to all major islands in the archipelago; 1 TV station is operated by government-owned, commercially run Broadcasting Corporation of the Bahamas (BCB) and competes freely withÂ 4 privately owned TV stations; multi-channel cable TV subscription service is widely available; there are 32 licensed broadcast (radio) service providers,Â 31 are privately owned FM radio stations operating on New Providence, Grand Bahama Island, Abaco Island, and on smaller islands in the country; the BCB operates a multi-channel radio broadcasting network that has national coverage; the sector is regulated by the Utilities Regulation and Competition Authority (2019) |
| Internet country code: | .bs |
| Internet users: | total: 282,739 |
| Internet users: | percent of population: 85% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 87,067 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 26 (2018 est.) |
