| Communications | Kuwait |
| --- | --- |
| Telephones - main lines in use: | 566,300 (2010) |
| Telephones - mobile cellular: | 4.4 million (2010) |
| Telephone system: | general assessment: the quality of service is excellent |
| Telephone system: | domestic: new telephone exchanges provide a large capacity for new subscribers; trunk traffic is carried by microwave radio relay, coaxial cable, and open-wire and fiber-optic cable; a mobile-cellular telephone system operates throughout Kuwait, and the country is well supplied with pay telephones |
| Telephone system: | international: country code - 965; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); linked to Bahrain, Qatar, UAE via the Fiber-Optic Gulf (FOG) cable; coaxial cable and microwave radio relay to Saudi Arabia; satellite earth stations - 6 (3 Intelsat - 1 Atlantic Ocean and 2 Indian Ocean, 1 Inmarsat - Atlantic Ocean, and 2 Arabsat) |
| Broadcast media: | state-owned TV broadcaster operates 4 networks and a satellite channel; several private TV broadcasters have emerged since 2003; satellite TV is available with pan-Arab TV stations especially popular; state-owned Radio Kuwait broadcasts on a number of channels in Arabic and English; first private radio station emerged in 2005; transmissions of at least 2 international radio broadcasters are available (2007) |
| Internet country code: | .kw |
| Internet hosts: | 2,485 (2010) |
| Internet users: | 1.1 million (2009) |
