| Communications | Russia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 31,171,043 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21.96 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 233,342,795 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 164.39 (2019 est.) |
| Telecommunication systems: | general assessment: telecom sector impacted by sanctions related to the annexations in Ukraine;Â the estimated number of mobile subscribers jumped from fewer than 1 million in 1998 to 255 million in 2016; fixed-line service has improved but a large demand remains; Russia with low broadband penetration is one of Europe's fastest growing markets for fiber-based broadbandÂ and moving from DSL to fiber;Â use by the population of multiple SIM cards; regulator ended roaming charges and works to bring down prices; 4 major operators in the mobile market; deployment of LTE support mobile broadband and data services, mobile on the cusp of 5G (2020) |
| Telecommunication systems: | domestic: cross-country digital trunk lines run from Saint Petersburg to Khabarovsk, and from Moscow to Novorossiysk; the telephone systems in 60 regional capitals have modern digital infrastructures; cellular services, both analog and digital, are available in many areas; in rural areas, telephone services are still outdated, inadequate, and low-density; 22 per 100 for fixed-line and mobile-cellular 164 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 7; landing points for the Far East Submarine Cable System, HSCS, Sakhalin-Kuril Island Cable, RSCN, BCS North-Phase 2, Kerch Strait Cable and the Georgia-Russian submarine cable system connecting Russia, Japan, Finland, Georgia and Ukraine; satellite earth stations provide access to Intelsat, Intersputnik, Eutelsat, Inmarsat, and Orbita systems (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 13 national TV stations with the federal government owning 1 and holding a controlling interest in a second; state-owned Gazprom maintains a controlling interest in 2 of the national channels; government-affiliated Bank Rossiya owns controlling interest in a fourth and fifth, while a sixth national channel is owned by the Moscow city administration; the Russian Orthodox Church and the Russian military, respectively, own 2 additional national channels; roughly 3,300 national, regional, and local TV stations with over two-thirds completely or partially controlled by the federal or local governments; satellite TV services are available; 2 state-run national radio networks with a third majority-owned by Gazprom; roughly 2,400 public and commercial radio stations |
| Internet country code: | .ru; note - Russia also has responsibility for a legacy domain ".su" that was allocated to the Soviet Union and is being phased out |
| Internet users: | total: 114,920,477 |
| Internet users: | percent of population: 80.86% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 32,062,780 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 23 (2018 est.) |
