| Communications | RUSSIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 39.43 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 28 (2014 est.) |
| Telephones - mobile cellular: | total: 221 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 155 (2014 est.) |
| Telephone system: | general assessment: the telephone system is experiencing significant changes; more than 1,000 companies licensed to offer communication services; access to digital lines has improved, particularly in urban centers; progress made toward building the telecommunications infrastructure necessary for a market economy; the estimated number of mobile subscribers jumped from fewer than 1 million in 1998 to more than 235 million in 2011; fixed-line service has improved but a large demand remains |
| Telephone system: | domestic: cross-country digital trunk lines run from Saint Petersburg to Khabarovsk, and from Moscow to Novorossiysk; the telephone systems in 60 regional capitals have modern digital infrastructures; cellular services, both analog and digital, are available in many areas; in rural areas, telephone services are still outdated, inadequate, and low-density |
| Telephone system: | international: country code - 7; connected internationally by undersea fiber optic cables; satellite earth stations provide access to Intelsat, Intersputnik, Eutelsat, Inmarsat, and Orbita systems (2011) |
| Broadcast media: | 6 national TV stations with the federal government owning 1 and holding a controlling interest in a second; state-owned Gazprom maintains a controlling interest in a third national channel; government-affiliated Bank Rossiya owns controlling interest in a fourth and fifth, while the sixth national channel is owned by the Moscow city administration; roughly 3,300 national, regional, and local TV stations with over two-thirds completely or partially controlled by the federal or local governments; satellite TV services are available; 2 state-run national radio networks with a third majority-owned by Gazprom; roughly 2,400 public and commercial radio stations (2007) |
| Radio broadcast stations: | AM 323, FM about 1,500, shortwave 62 (2004) |
| Television broadcast stations: | 7,306 (1998) |
| Internet country code: | .ru; note - Russia also has responsibility for a legacy domain ".su" that was allocated to the Soviet Union and is being phased out |
| Internet users: | total: 84.4 million |
| Internet users: | percent of population: 59.3% (2014 est.) |
