| Communications | Samoa |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 8,454 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 124,211 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 62 (2017 est.) |
| Telephone system: | general assessment: most households have at least one mobile phone; all businesses in the greater Apia area have access to broadband and Wi-Fi, which is reasonably reliable and fast; in rural Upolu and on Savaii Island there is now readily availableÂ  high-speed Internet and Wi-Fi;Â due to the establishment of a regulatory infrastructure, liberalization and competition of the mobile market the telecom market has increased coverage and reduced cost; 4G LTE servicesÂ accessible to about 95% of residents (2018) |
| Telephone system: | domestic: fixed-line 4 per 100 and mobile-cellular teledensityÂ 62 telephones per 100 persons (2018) |
| Telephone system: | international: country code - 685; landing points for the Tui-Samo, Manatua, SAS, and Southern Cross NEXT submarine cables providing connectivity to Samoa, Fiji,Â WallisÂ & Futuna, Cook Islands, Niue, French Polynesia, American Samoa, Australia, New Zealand, Kiribati, Los Angeles (US), and Tokelau;Â satellite earth station - 1 Intelsat (Pacific Ocean) (2019) |
| Broadcast media: | state-owned TV station privatized in 2008; 4 privately owned television broadcast stations; about a half-dozen privately owned radio stations and one state-owned radio station; TV and radio broadcasts of several stations from American Samoa are available (2019) |
| Internet country code: | .ws |
| Internet users: | total: 58,508 |
| Internet users: | percent of population: 29.4% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,692 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2017 est.) |
