| Communications | GEORGIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 831,346 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17 (July 2016 est.) |
| Telephones - mobile cellular: | total: 5,532,701 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 112 (July 2016 est.) |
| Telephone system: | general assessment: fixed-line telecommunications network has limited coverage outside Tbilisi; multiple mobile-cellular providers provide services to an increasing subscribership throughout the country |
| Telephone system: | domestic: cellular telephone networks cover the entire country; mobile-cellular teledensity roughly 110 per 100 persons; intercity facilities include a fiber-optic line between T'bilisi and K'ut'aisi |
| Telephone system: | international: country code - 995; the Georgia-Russia fiber-optic submarine cable provides connectivity to Russia; international service is available by microwave, landline, and satellite through the Moscow switch; international electronic mail and telex service are available (2015) |
| Broadcast media: | Tbilisi-based Georgian Public Broadcaster (GPB) includes Channel 1, Channel 2, as well as the Batumi-based Adjara TV (also a part of GPB); all three are funded from the state budget; there are a number of independent commercial TV stations, including but not limited to Rustavi 2, Imedi, Maestro, Kavkasia, GDS, and TV1; the Georgian Orthodox Church also operates a satellite-based TV station called Unanimity; 26 regional TV broadcasters across Georgia are members of the Georgian Association of Regional Broadcasters (GARB) that seeks to strengthen the regional media's capacities and to distribute regional products; a nationwide digital switchover occurred in 2015; there are several dozen private radio stations; GPB operates 2 radio stations (2016) |
| Internet country code: | .ge |
| Internet users: | total: 2,464,107 |
| Internet users: | percent of population: 50.0% (July 2016 est.) |
