| Communications | Angola |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 161,070 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 13,323,952 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 45 (2017 est.) |
| Telephone system: | general assessment: |
| Telephone system: | inÂ the process of a restructure plan and opening up the telecom sector to new competitors,Â while still retaining a 45% govtÂ portion of the share;Â Â slow progress in LTE network development, with only about 10% of the country covered by network infrastructure at the end of 2017 |
| Telephone system: | (2017) |
| Telephone system: | domestic: only about one fixed-line per 100 persons; mobile-cellular teledensity aboutÂ 45 telephones per 100 persons (2017) |
| Telephone system: | international: country code - 244; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 29 (2016) |
| Broadcast media: | state controls all broadcast media with nationwide reach; state-owned Televisao Popular de Angola (TPA) provides terrestrial TV service on 2 channels; a third TPA channel is available via cable and satellite; TV subscription services are available; state-owned Radio Nacional de Angola (RNA) broadcasts on 5 stations; about a half-dozen private radio stations broadcast locally (2009) |
| Internet country code: | .ao |
| Internet users: | total: 2,622,403 (July 2016 est.) |
| Internet users: | percent of population: 13% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 96,919 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
