| Communications | Macau |
| --- | --- |
| Telephones - main lines in use: | 168,903 (2010) |
| Telephones - mobile cellular: | 1.109 million (2010) |
| Telephone system: | general assessment: fairly modern communication facilities maintained for domestic and international services |
| Telephone system: | domestic: termination of monopoly over mobile-cellular telephone services in 2001 spurred sharp increase in subscriptions with mobile-cellular teledensity approaching 200 per 100 persons in 2010; fixed-line subscribership appears to have peaked and is now in decline |
| Telephone system: | international: country code - 853; landing point for the SEA-ME-WE-3 submarine cable network that provides links to Asia, the Middle East, and Europe; HF radiotelephone communication facility; satellite earth station - 1 Intelsat (Indian Ocean) (2010) |
| Broadcast media: | local government dominates broadcast media; 2 television stations operated by the government with one broadcasting in Portuguese and the other in Cantonese and Mandarin; cable and satellite TV services are available; 3 radio stations broadcasting, of which 2 are government-operated (2008) |
| Internet country code: | .mo |
| Internet hosts: | 252 (2010) |
| Internet users: | 270,200 (2009) |
