| Communications | Falkland Islands (Islas Malvinas) |
| --- | --- |
| Telephones - main lines in use: | 2,000 (2009) |
| Telephones - mobile cellular: | 3,300 (2009) |
| Telephone system: | general assessment: NA |
| Telephone system: | domestic: government-operated radiotelephone and private VHF/CB radiotelephone networks provide effective service to almost all points on both islands |
| Telephone system: | international: country code - 500; satellite earth station - 1 Intelsat (Atlantic Ocean) with links through London to other countries |
| Broadcast media: | television service provided by a multi-channel service provider; radio services provided by the public broadcaster Falkland Islands Radio Service (FIRS), broadcasting on both AM and FM frequencies, and by the British Forces Broadcasting Service (BFBS) (2007) |
| Internet country code: | .fk |
| Internet hosts: | 91 (2010) |
| Internet users: | 2,900 (2009) |
