| Communications | Antigua and Barbuda |
| --- | --- |
| Telephones - main lines in use: | 35,500 (2011) |
| Telephones - mobile cellular: | 176,000 (2011) |
| Telephone system: | general assessment: good automatic telephone system |
| Telephone system: | domestic: fixed-line teledensity roughly 40 per 100 persons; mobile-cellular teledensity is some 200 per 100 persons |
| Telephone system: | international: country code - 1-268; landing points for the East Caribbean Fiber System (ECFS) and the Global Caribbean Network (GCN) submarine cable systems with links to other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; satellite earth stations - 2; tropospheric scatter to Saba (Netherlands) and Guadeloupe (France) (2011) |
| Broadcast media: | state-controlled Antigua and Barbuda Broadcasting Service (ABS) operates 1 TV station; multi-channel cable TV subscription services are available; ABS operates 1 radio station; roughly 15 radio stations, some broadcasting on multiple frequencies (2007) |
| Internet country code: | .ag |
| Internet hosts: | 11,532 (2012) |
| Internet users: | 65,000 (2009) |
