| Communications | Antigua and Barbuda |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 22,504 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 24 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 180,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 190 (2017 est.) |
| Telephone system: | general assessment: good automatic telephone system with fiber-optic lines; telecom sector contributes heavily to GDP; numerous mobile network competitors licensed, but small and local (2018) |
| Telephone system: | domestic: fixed-line teledensity roughly 24 per 100 persons; mobile-cellular teledensity is about 190 per 100 persons (2018) |
| Telephone system: | international: country code - 1-268; landing points for the ECFS andÂ Southern Caribbean FiberÂ submarine cable systems with links to other islands in the eastern Caribbean; satellite earth stationsÂ - 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | state-controlled Antigua and Barbuda Broadcasting Service (ABS) operates 1 TV station; multi-channel cable TV subscription services are available; ABS operates 1 radio station; roughly 15 radio stations, some broadcasting on multiple frequencies |
| Internet country code: | .ag |
| Internet users: | total: 60,000 |
| Internet users: | percent of population: 65.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 9,261 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 10 (2017 est.) |
