| Communications | Antigua and Barbuda |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 22,504 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 24 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 180,000 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 190 (July 2016 est.) |
| Telephone system: | general assessment: good automatic telephone system with fiber-optic lines; telecom sector contributes heavily to GDP; numerous mobile network competitors licensed, but small and local (2017) |
| Telephone system: | domestic: fixed-line teledensity roughly 24 per 100 persons; mobile-cellular teledensity is about 190 per 100 persons (2017) |
| Telephone system: | international: country code - 1-268; landing points for the East Caribbean Fiber System (ECFS) and the Global Caribbean Network (GCN) submarine cable systems with links to other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; satellite earth stations - 2; tropospheric scatter to Saba (Netherlands) and Guadeloupe (France); international: 3 fiber optic submarine cables (2 to Saint Kitts and 1 to Guadeloupe); satellite earth station - 1 Intelsat (Atlantic Ocean) (2017) |
| Broadcast media: | state-controlled Antigua and Barbuda Broadcasting Service (ABS) operates 1 TV station; multi-channel cable TV subscription services are available; ABS operates 1 radio station; roughly 15 radio stations, some broadcasting on multiple frequencies (2009) |
| Internet country code: | .ag |
| Internet users: | total: 60,000 (July 2016 est.) |
| Internet users: | percent of population: 65.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 9,261 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 10 (2017 est.) |
