| Communications | Nicaragua |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 215,055 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3.5 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 5,433,530 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 88.43 (2019 est.) |
| Telecommunication systems: | general assessment: system being upgraded by foreign investment; new canal being built between Pacific and Caribbean with Chinese funding; nearly all installed telecommunications capacity now uses digital technology, owing to investments since privatization of the formerly state-owned telecommunications company; lowest fixed-line teledensity and mobile penetration in Central America; Internet cafe'sÂ provideÂ access to Internet and email services; telecom is bigger in the cities and marginal in rural area; liberalization slow;Â a Russian state corporation is operating in the area; LTE service in 60 towns and cities (2020) |
| Telecommunication systems: | domestic: since privatization, access to fixed-line and mobile-cellular services has improved; fixed-line teledensity roughly 4 per 100 persons; mobile-cellular telephone subscribership has increased to 88 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 505; landing point for the ARCOS fiber-optic submarine cable which provides connectivity to South and Central America, parts of the Caribbean, and the US; satellite earth stations - 1 Intersputnik (Atlantic Ocean region) and 1 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | multiple terrestrial TV stations, supplemented by cable TV in most urban areas; nearly all are government-owned or affiliated; more than 300 radio stations, both government-affiliated and privately owned (2019) |
| Internet country code: | .ni |
| Internet users: | total: 1,695,340 |
| Internet users: | percent of population: 27.86% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 192,413 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2018 est.) |
