| Communications | ICELAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 170,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 52 (2014 est.) |
| Telephones - mobile cellular: | total: 370,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 113 (2014 est.) |
| Telephone system: | general assessment: telecommunications infrastructure is modern and fully digitized, with satellite-earth stations, fiber-optic cables, and an extensive broadband network |
| Telephone system: | domestic: liberalization of the telecommunications sector beginning in the late 1990s has led to increased competition especially in the mobile services segment of the market |
| Telephone system: | international: country code - 354; the CANTAT-3 and FARICE-1 submarine cable systems provide connectivity to Canada, the Faroe Islands, UK, Denmark, and Germany; a planned new section of the Hibernia-Atlantic submarine cable will provide additional connectivity to Canada, US, and Ireland; satellite earth stations - 2 Intelsat (Atlantic Ocean), 1 Inmarsat (Atlantic and Indian Ocean regions); note - Iceland shares the Inmarsat earth station with the other Nordic countries (Denmark, Finland, Norway, and Sweden) (2011) |
| Broadcast media: | state-owned public TV broadcaster operates 1 TV channel nationally; several privately owned TV stations broadcast nationally and roughly another half-dozen operate locally; about one-half the households utilize multi-channel cable or satellite TV services; state-owned public radio broadcaster operates 2 national networks and 4 regional stations; 2 privately owned radio stations operate nationally and another 15 provide more limited coverage (2007) |
| Radio broadcast stations: | AM 3, FM about 70, shortwave 1 (2008) |
| Television broadcast stations: | 14 (plus 156 repeaters) (1997) |
| Internet country code: | .is |
| Internet users: | total: 316,400 |
| Internet users: | percent of population: 96.5% (2014 est.) |
