| Communications | Belize |
| --- | --- |
| Telephones - main lines in use: | 28,800 (2011) |
| Telephones - mobile cellular: | 222,000 (2011) |
| Telephone system: | general assessment: above-average system; trunk network depends primarily on microwave radio relay |
| Telephone system: | domestic: fixed-line teledensity of slightly less than 10 per 100 persons; mobile-cellular teledensity approaching 70 per 100 persons |
| Telephone system: | international: country code - 501; landing point for the Americas Region Caribbean Ring System (ARCOS-1) fiber-optic telecommunications submarine cable that provides links to South and Central America, parts of the Caribbean, and the US; satellite earth station - 8 (Intelsat - 2, unknown - 6) (2011) |
| Broadcast media: | 8 privately-owned TV stations; multi-channel cable TV provides access to foreign stations; about 25 radio stations broadcasting on roughly 50 different frequencies; state-run radio was privatized in 1998 (2007) |
| Internet country code: | .bz |
| Internet hosts: | 3,392 (2012) |
| Internet users: | 36,000 (2009) |
