| Communications | SAINT LUCIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 35,003 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (July 2016 est.) |
| Telephones - mobile cellular: | total: 176,648 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 107 (July 2016 est.) |
| Telephone system: | general assessment: an adequate system that is automatically switched |
| Telephone system: | domestic: fixed-line teledensity is 20 per 100 persons and mobile-cellular teledensity is roughly 105 per 100 persons |
| Telephone system: | international: country code - 1-758; the East Caribbean Fiber System and Southern Caribbean Fiber submarine cables, along with Intelsat from Martinique, carry calls internationally; direct microwave radio relay link with Martinique and Saint Vincent and the Grenadines; tropospheric scatter to Barbados (2016) |
| Broadcast media: | 3 privately owned TV stations; 1 public TV station operating on a cable network; multi-channel cable TV service available; a mix of state-owned and privately owned broadcasters operate nearly 25 radio stations including repeater transmission stations (2007) |
| Internet country code: | .lc |
| Internet users: | total: 86,000 |
| Internet users: | percent of population: 52.4% (July 2016 est.) |
