| Communications | Malta |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 240,280 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 58 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 560,010 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 135 (2017 est.) |
| Telephone system: | general assessment: automatic system featuring submarine cable and microwave radio relay between islands; one of the most advanced telecoms in Europe, high penetration of mobile and broadband, and a way forward to expand e-commerce opportunities; '5G ready' and LTE network; regulatory system that encouragesÂ investors (2018) |
| Telephone system: | domestic: fixed-lineÂ  58 per 100Â  persons and mobile-cellular subscribershipÂ  135 per 100 persons (2018) |
| Telephone system: | international: country code - 356; landing points for the Malta-Gozo Cable, VMSCS, GO-1 Mediterranean Cable System, Malta Italy Interconnector, Melita-1, and the Italy-Malta submarine cable connections to Italy; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | 2 publicly owned TV stations, Television Malta broadcasting nationally plus an educational channel; several privately owned national television stations, 2 of which are owned by political parties; Italian and British broadcast programs are available; multi-channel cable and satellite TV services are available; publicly owned radio broadcaster operates 3 stations; roughly 20 commercial radio stations (2019) |
| Internet country code: | .mt |
| Internet users: | total: 320,902 |
| Internet users: | percent of population: 77.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 181,318 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 44 (2017 est.) |
