| Communications | Malta |
| --- | --- |
| Telephones - main lines in use: | 229,700 (2012) |
| Telephones - mobile cellular: | 539,500 (2012) |
| Telephone system: | general assessment: automatic system featuring submarine cable and microwave radio relay between islands |
| Telephone system: | domestic: combined fixed-line and mobile-cellular subscribership exceeds 180 per 100 persons |
| Telephone system: | international: country code - 356; submarine cable connects to Italy; satellite earth station - 1 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | 2 publicly owned TV stations, Television Malta (TVM) broadcasting nationally plus an educational channel; several privately owned national television stations, two of which are owned by political parties; Italian and British broadcast programs are available; multi-channel cable and satellite TV services are available; publicly owned radio broadcaster operates 1 station; roughly 20 commercial radio stations (2011) |
| Internet country code: | .mt |
| Internet hosts: | 14,754 (2012) |
| Internet users: | 240,600 (2009) |
