| Communications | Djibouti |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 36,582 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 4 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 373,052 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 43 (2017 est.) |
| Telephone system: | general assessment: telephone facilities in the city of Djibouti are adequate, as are the microwave radio relay connections to outlying areas of the country; Djibouti is one of the few remaining countries in which the national telco, Djibouti Telecom (DT), has a monopoly on all telecom services, including fixed lines, mobile, internet and broadband; the lack of competition has meant that the market has not lived up to its potential (2017) |
| Telephone system: | domestic: Djibouti TelecomÂ  (DT) is the sole provider of telecommunications services and utilizes mostly a microwave radio relay network; fiber-optic cable is installed in the capital; rural areas connected via wireless local loop radio systems; mobile cellular coverage is primarily limited to the area in and around Djibouti city; 4 per 100 fixed-line, 43 per 100 moblie-cellular (2017) |
| Telephone system: | international: country code - 253; landing point for the SEA-ME-WE-3 and EASSy fiber-optic submarine cable systems providing links to Asia, the Middle East, Europe and North America; satellite earth stations - 2 (1 Intelsat - Indian Ocean and 1 Arabsat); work starts on the PEACE submarine cable linking Djibouti with Pakistan; Djibouti Telecom joins six other regional telcos to build the DARE submarine cable system, is contracted to manage the Australia West Cable landing; Djibouti Internet Exchange (DjIX) joins the African IXP Association; Djibouti Telecom signs an agreement to peer IP traffic through France-IX's IXPs in Paris and Marseille; growth in the mobile and internet sectors accelerates with 3G launch (2017) |
| Broadcast media: | state-owned Radiodiffusion-Television de Djibouti operates the sole terrestrial TV station, as well as the only 2 domestic radio networks; no private TV or radio stations; transmissions of several international broadcasters are available (2007) |
| Internet country code: | .dj |
| Internet users: | total: 111,212 (July 2016 est.) |
| Internet users: | percent of population: 13.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 24,389 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2017 est.) |
