| Communications | DJIBOUTI |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 21,900 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (2014 est.) |
| Telephones - mobile cellular: | total: 287,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 35 (2014 est.) |
| Telephone system: | general assessment: telephone facilities in the city of Djibouti are adequate, as are the microwave radio relay connections to outlying areas of the country |
| Telephone system: | domestic: Djibouti Telecom is the sole provider of telecommunications services and utilizes mostly a microwave radio relay network; fiber-optic cable is installed in the capital; rural areas connected via wireless local loop radio systems; mobile cellular coverage is primarily limited to the area in and around Djibouti city |
| Telephone system: | international: country code - 253; landing point for the SEA-ME-WE-3 and EASSy fiber-optic submarine cable systems providing links to Asia, the Middle East, Europe and North America; satellite earth stations - 2 (1 Intelsat - Indian Ocean and 1 Arabsat); Medarabtel regional microwave radio relay telephone network (2009) |
| Broadcast media: | state-owned Radiodiffusion-Television de Djibouti operates the sole terrestrial TV station, as well as the only 2 domestic radio networks; no private TV or radio stations; transmissions of several international broadcasters are available (2007) |
| Radio broadcast stations: | AM 1, FM 2, shortwave 0 (2001) |
| Television broadcast stations: | 1 (2001) |
| Internet country code: | .dj |
| Internet users: | total: 73,500 |
| Internet users: | percent of population: 9.1% (2014 est.) |
