| Communications | Djibouti |
| --- | --- |
| Telephones - main lines in use: | 16,800 (2009) |
| Telephones - mobile cellular: | 128,800 (2009) |
| Telephone system: | general assessment: telephone facilities in the city of Djibouti are adequate, as are the microwave radio relay connections to outlying areas of the country |
| Telephone system: | domestic: Djibouti Telecom is the sole provider of telecommunications services and utilizes mostly a microwave radio relay network; fiber-optic cable is installed in the capital; rural areas connected via wireless local loop radio systems; mobile cellular coverage is primarily limited to the area in and around Djibouti city |
| Telephone system: | international: country code - 253; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable with links to Asia, the Middle East, and Europe; satellite earth stations - 2 (1 Intelsat - Indian Ocean and 1 Arabsat); Medarabtel regional microwave radio relay telephone network (2009) |
| Broadcast media: | maintains restrictions on the licensing and operation of broadcast media; state-owned Radiodiffusion-Television de Djibouti (RTD) operates the sole terrestrial TV station as well as the only 2 domestic radio networks; no private TV or radio stations; transmissions of several international broadcasters are available (2007) |
| Internet country code: | .dj |
| Internet hosts: | 195 (2010) |
| Internet users: | 25,900 (2009) |
