| Communications | Spain |
| --- | --- |
| Telephones - main lines in use: | 20.2 million (2008) |
| Telephones - mobile cellular: | 49.682 million (2008) |
| Telephone system: | general assessment: well developed, modern facilities; fixed-line teledensity is roughly 50 per 100 persons |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity is nearly 175 telephones per 100 persons |
| Telephone system: | international: country code - 34; submarine cables provide connectivity to Europe, Middle East, Asia, and US; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), NA Eutelsat; tropospheric scatter to adjacent countries |
| Radio broadcast stations: | AM 18, FM 250, shortwave 2 (2008) |
| Television broadcast stations: | 379 (2008) |
| Internet country code: | .es |
| Internet hosts: | 3.537 million (2009) |
| Internet users: | 25.24 million (2008) |
