| Communications | Lithuania |
| --- | --- |
| Telephones - main lines in use: | 733,700 (2010) |
| Telephones - mobile cellular: | 4.891 million (2010) |
| Telephone system: | general assessment: adequate; being modernized to provide improved international capability and better residential access |
| Telephone system: | domestic: rapid expansion of mobile-cellular services has resulted in a steady decline in the number of fixed-line connections; mobile-cellular teledensity stands at about 140 per 100 persons |
| Telephone system: | international: country code - 370; major international connections to Denmark, Sweden, and Norway by submarine cable for further transmission by satellite; landline connections to Latvia and Poland (2008) |
| Broadcast media: | public broadcaster operates 3 channels with the third channel - a satellite channel - introduced in 2007; various privately-owned commercial TV broadcasters operate national and multiple regional channels; large number of privately-owned local TV stations; multi-channel cable and satellite TV services are available; publicly-owned broadcaster operates 3 radio networks; large number of privately-owned commercial broadcasters, many with repeater stations in various regions throughout the country (2007) |
| Internet country code: | .lt |
| Internet hosts: | 1.17 million (2010) |
| Internet users: | 1.964 million (2009) |
