| Communications | Montenegro |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 183,387 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 29.96 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 1,121,870 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 183.28 (2019 est.) |
| Telecommunication systems: | general assessment: modern telecommunications system with access to European satellites; telecom sector in-line with EU norms which means competition, access and tariff structures; DSL, cable, leased line, fiber and wireless available; seasonal tourist have boosted mobile penetration; wide availability of LTE technologies has made mobile broadband a viable alternative to fixed-line broadband in rural areas; 5G services anticipated in the future (2020) |
| Telecommunication systems: | domestic: GSM mobile-cellular service, available through multiple providers with national coverage growing; fixed-line 30 per 100 and mobile-cellular 183 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 382; 2 international switches connect the national system |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-funded national radio-TV broadcaster operates 2 terrestrial TV networks, 1 satellite TV channel, and 2 radio networks;Â 4 local public TV stations and 14 private TV stations; 14 local public radio stations, 35 private radio stations, andÂ several on-line media (2019) |
| Internet country code: | .me |
| Internet users: | total: 439,311 |
| Internet users: | percent of population: 71.52% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 159,029 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 26 (2018 est.) |
