| Communications | Libya |
| --- | --- |
| Telephones - main lines in use: | 1.101 million (2009) |
| Telephones - mobile cellular: | 5.004 million (2009) |
| Telephone system: | general assessment: telecommunications system is state-owned and service is poor, but investment is being made to upgrade; state retains monopoly in fixed-line services; mobile-cellular telephone system became operational in 1996 |
| Telephone system: | domestic: multiple providers for a mobile telephone system that is growing rapidly; combined fixed-line and mobile-cellular teledensity is approaching 100 telephones per 100 persons |
| Telephone system: | international: country code - 218; satellite earth stations - 4 Intelsat, NA Arabsat, and NA Intersputnik; submarine cable to France and Italy; microwave radio relay to Tunisia and Egypt; tropospheric scatter to Greece; participant in Medarabtel (2009) |
| Broadcast media: | state controls broadcast media; state-owned terrestrial TV station and about a half-dozen state-owned satellite stations broadcast; some provinces operate local TV stations; a single, non-state-owned TV station launched in 2007; pan-Arab satellite TV stations are available; state-owned radio broadcasts on a number of frequencies, some of which carry regional programming; Voice of Africa, Libya's external radio service, can also be heard; a single, non-state-owned radio station broadcasting (2007) |
| Internet country code: | .ly |
| Internet hosts: | 12,432 (2010) |
| Internet users: | 353,900 (2009) |
