| Communications | Libya |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,374,408 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 7,660,068 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 115 (July 2016 est.) |
| Telephone system: | general assessment: political and security instability in Libya has disrupted its telecommunications sector, but much of its infrastructure remains superior to that in most other African countries; registering a SIM card now requires proof of ID; govt. established new indepentent regulatory autority; LTE-based fixed broadband network launched (2018) |
| Telephone system: | domestic: 21 per 100 fixed-line and 115 per 100 mobile-cellular subscriptions; service generally adequate, but pressure to rebuild damaged infrastructure growing (2018) |
| Telephone system: | international: country code - 218; satellite earth stations - 4 Intelsat, NA Arabsat, and NA Intersputnik; submarine cable to France and Italy; microwave radio relay to Tunisia and Egypt; tropospheric scatter to Greece; participant in Medarabtel (2018) |
| Broadcast media: | state-funded and private TV stations; some provinces operate local TV stations; pan-Arab satellite TV stations are available; state-funded radio (2012) |
| Internet country code: | .ly |
| Internet users: | total: 1,326,194 (July 2016 est.) |
| Internet users: | percent of population: 20.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 168,920 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2017 est.) |
