| Communications | Kiribati |
| --- | --- |
| Telephones - main lines in use: | 8,500 (2011) |
| Telephones - mobile cellular: | 13,800 (2011) |
| Telephone system: | general assessment: generally good quality national and international service |
| Telephone system: | domestic: wire line service available on Tarawa and Kiritimati (Christmas Island); connections to outer islands by HF/VHF radiotelephone; wireless service available in Tarawa since 1999 |
| Telephone system: | international: country code - 686; Kiribati is being linked to the Pacific Ocean Cooperative Telecommunications Network, which should improve telephone service; satellite earth station - 1 Intelsat (Pacific Ocean) |
| Broadcast media: | 1 TV broadcast station that provides about 1 hour of local programming Monday-Friday; multi-channel TV packages provide access to Australian and US stations; 1 government-operated radio station broadcasting on AM, FM, and shortwave (2009) |
| Internet country code: | .ki |
| Internet hosts: | 327 (2012) |
| Internet users: | 7,800 (2009) |
