| Communications | Cayman Islands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 34,116 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 60 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 95,656 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 164 (July 2016 est.) |
| Telephone system: | general assessment: reasonably good overall telephone system with a high fixed-line teledensity;Â givenÂ the high dependence of tourism and activities such as fisheries and offshore financial services, the telecom sector provides a relatively high contribution to overall GDP;Â good competion in all sectors promotesÂ advancement in mobile telephony and data segments (2018) |
| Telephone system: | domestic: introduction of competition in the mobile-cellular market in 2004 boosted subscriptions dramatically; 60Â per 100 fixed-line, 164 per 100 mobile-cellular (2018) |
| Telephone system: | international: country code - 1-345; landing points for the Maya-1, Eastern Caribbean Fiber System (ECFS), and the Cayman-Jamaica Fiber System submarine cables that provide links to the US and parts of Central and South America; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | 4 TV stations; cable and satellite subscription services offer a variety of international programming; government-owned Radio Cayman operates 2 networks broadcasting on 5 stations; 10 privately owned radio stations operate alongside Radio Cayman (2007) |
| Internet country code: | .ky |
| Internet users: | total: 45,242 (July 2016 est.) |
| Internet users: | percent of population: 79% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 24,535 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 42 (2017 est.) |
