| Communications | Cameroon |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 699,055 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 19,706,027 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 79 (2017 est.) |
| Telephone system: | general assessment: equipment is old and outdated, and connections with many parts of the country are unreliable; 3G service andÂ LTE service both developing given growing competition, along with a fast-developing mobile broadband sector (2018) |
| Telephone system: | domestic: only aboutÂ 3 per 100 persons for fixed-line subscriptions; mobile-cellular usage has increased sharply, reaching a subscribership base of over 79 per 100 persons (2018) |
| Telephone system: | international: country code - 237; landing points for the SAT-3/WASC, SAIL, ACE, NCSCS, Ceiba-2, and WACSÂ fiber-optic submarine cable that provides connectivity to Europe, South America, and West Africa; satellite earth stations - 2 Intelsat (Atlantic Ocean); (2019) |
| Broadcast media: | government maintains tight control over broadcast media; state-owned Cameroon Radio Television (CRTV), broadcasting on both a TV and radio network, was the only officially recognized and fully licensed broadcaster until August 2007, when the government finally issued licenses to 2 private TV broadcasters and 1 private radio broadcaster; about 70 privately owned, unlicensed radio stations operating but are subject to closure at any time; foreign news services required to partner with state-owned national station (2019) |
| Internet country code: | .cm |
| Internet users: | total: 6,090,201 |
| Internet users: | percent of population: 25% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 42,117 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
