| Communications | Cameroon |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 699,055 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 19,706,027 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 79 (2017 est.) |
| Telephone system: | general assessment: equipment is old and outdated, and connections with many parts of the country are unreliable;Â  3G service andÂ LTE service both developing given growing competition, along with a fast-developing mobile broadband sector (2017) |
| Telephone system: | domestic: only aboutÂ 3 per 100 persons for fixed-line subscriptions; mobile-cellular usage has increased sharply, reaching a subscribership base of over 79 per 100 persons (2017) |
| Telephone system: | international: country code - 237; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 2 Intelsat (Atlantic Ocean);Â by September 2018 the country is expected to be connected to the SAIL submarine cable, providing a direct link to Brazil and with onward connectivity to other countries in the Americas; the cable willÂ considerably improve international bandwidth and lead to better prices for consumers (2017) |
| Broadcast media: | government maintains tight control over broadcast media; state-owned Cameroon Radio Television (CRTV), broadcasting on both a TV and radio network, was the only officially recognized and fully licensed broadcaster until August 2007, when the government finally issued licenses to 2 private TV broadcasters and 1 private radio broadcaster; about 70 privately owned, unlicensed radio stations operating but are subject to closure at any time; foreign news services required to partner with state-owned national station (2007) |
| Internet country code: | .cm |
| Internet users: | total: 6,090,201 (July 2016 est.) |
| Internet users: | percent of population: 25% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 42,117 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
