| Communications | Morocco |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,046,390 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 43,916,066 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 129 (2017 est.) |
| Telephone system: | general assessment: good system composed of open-wire lines, cables, and microwave radio relay links; principal switching centers are Casablanca and Rabat; national network nearly 100% digital using fiber-optic links; improved rural service employs microwave radio relay; Internet available but expensive (2016) |
| Telephone system: | domestic: fixed-line teledensity is below 10 per 100 persons; mobile-cellular subscribership exceeds 120 per 100 persons (2016) |
| Telephone system: | international: country code - 212; landing point for the Atlas Offshore, Estepona-Tetouan, Euroafrica, Spain-Morocco, and SEA-ME-WE-3 fiber-optic telecommunications undersea cables that provide connectivity to Asia, the Middle East, and Europe; satellite earth stations - 2 Intelsat (Atlantic Ocean) and 1 Arabsat; microwave radio relay to Gibraltar, Spain, and Western Sahara; coaxial cable and microwave radio relay to Algeria; participant in Medarabtel; fiber-optic cable link from Agadir to Algeria and Tunisia (2016) |
| Broadcast media: | 2 TV broadcast networks with state-run Radio-Television Marocaine (RTM) operating one network and the state partially owning the other; foreign TV broadcasts are available via satellite dish; 3 radio broadcast networks with RTM operating one; the government-owned network includes 10 regional radio channels in addition to its national service (2007) |
| Internet country code: | .ma |
| Internet users: | total: 19,611,643 (July 2016 est.) |
| Internet users: | percent of population: 58.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,378,867 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 4 (2017 est.) |
| Communications - note: | the University of al-Quarawiyyin Library in Fez is recognized as the oldest existing, continually operating library in the world, dating back to A.D. 859; among its holdings are approximately 4,000 ancient Islamic manuscripts (2018) |
