| Communications | SOUTH AFRICA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,562,982 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 7 (July 2016 est.) |
| Telephones - mobile cellular: | total: 76,653,421 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 141 (July 2016 est.) |
| Telephone system: | general assessment: the system is the best-developed and most modern in Africa |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity exceeds 145 telephones per 100 persons; consists of carrier-equipped open-wire lines, coaxial cables, microwave radio relay links, fiber-optic cable, radiotelephone communication stations, and wireless local loops; key centers are Bloemfontein, Cape Town, Durban, Johannesburg, Port Elizabeth, and Pretoria |
| Telephone system: | international: country code - 27; the SAT-3/WASC and SAFE fiber-optic submarine cable systems connect South Africa to Europe and Asia; the EASSy fiber-optic cable system connects with Europe and North America; satellite earth stations - 3 Intelsat (1 Indian Ocean and 2 Atlantic Ocean) (2016) |
| Broadcast media: | the South African Broadcasting Corporation (SABC) operates 4 TV stations, 3 are free-to-air and 1 is pay TV; e.tv, a private station, is accessible to more than half the population; multiple subscription TV services provide a mix of local and international channels; well-developed mix of public and private radio stations at the national, regional, and local levels; the SABC radio network, state-owned and controlled but nominally independent, operates 18 stations, one for each of the 11 official languages, 4 community stations, and 3 commercial stations; more than 100 community-based stations extend coverage to rural areas (2007) |
| Internet country code: | .za |
| Internet users: | total: 29,322,380 |
| Internet users: | percent of population: 54.0% (July 2016 est.) |
