| Communications | South Africa |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 1,934,778 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3.46 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 92,600,942 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 165.6 (2019 est.) |
| Telecommunication systems: | general assessment: the telecommunication system is the best-developed and most modern in Africa; mobile Internet accounts for about 95% of Internet connections; 94% with access to WiMAX/LTE services; LTE-A services launched for commercial use; the mobile sector for both voice and data service demand most investment; first region to launch commercial 5G services; regulator made provisions to anticipate spike in data traffic resulting from COVID-19 lockdown (2020) |
| Telecommunication systems: | domestic: fixed-line 3 per 100 persons and mobile-cellular 166 telephones per 100 persons; consists of carrier-equipped open-wire lines, coaxial cables, microwave radio relay links, fiber-optic cable, radiotelephone communication stations, and wireless local loops; key centers are Bloemfontein, Cape Town, Durban, Johannesburg, Port Elizabeth, and Pretoria (2019) |
| Telecommunication systems: | international: country code - 27; landing points for the WACS, ACE, SAFE, SAT-3, Equiano, SABR, SAEx1, SAEx2, IOX Cable System, METISS, EASSy, and SEACOM/ Tata TGN-EurasiaÂ fiber-optic submarine cable systems connecting South Africa, East Africa, West Africa, Europe,Â Southeast Asia, Asia, South America, Indian Ocean Islands,Â and theÂ US;Â satellite earth stations - 3 Intelsat (1 Indian Ocean and 2 Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | the South African Broadcasting Corporation (SABC) operates 4 TV stations, 3 are free-to-air and 1 is pay TV; e.tv, a private station, is accessible to more than half the population; multiple subscription TV services provide a mix of local and international channels; well-developed mix of public and private radio stations at the national, regional, and local levels; the SABC radio network, state-owned and controlled but nominally independent, operates 18 stations, one for each of the 11 official languages, 4 community stations, and 3 commercial stations; more than 100 community-based stations extend coverage to rural areas |
| Internet country code: | .za |
| Internet users: | total: 31,107,064 |
| Internet users: | percent of population: 56.17% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 1,107,013 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 2 (2018 est.) |
