| Communications | Uganda |
| --- | --- |
| Telephones - main lines in use: | 168,500 (2008) |
| Telephones - mobile cellular: | 8.555 million (2008) |
| Telephone system: | general assessment: seriously inadequate; mobile cellular service is increasing rapidly, but the number of main lines is still deficient; e-mail and Internet services are available |
| Telephone system: | domestic: intercity traffic by wire, microwave radio relay, and radiotelephone communication stations, fixed and mobile-cellular systems for short-range traffic |
| Telephone system: | international: country code - 256; satellite earth stations - 1 Intelsat (Atlantic Ocean) and 1 Inmarsat; analog links to Kenya and Tanzania |
| Radio broadcast stations: | AM 7, FM 33, shortwave 2 (2001) |
| Television broadcast stations: | 8 (plus 1 repeater) (2001) |
| Internet country code: | .ug |
| Internet hosts: | 6,757 (2009) |
| Internet users: | 2.5 million (2008) |
