| Communications | Macau |
| --- | --- |
| Telephones - main lines in use: | 165,500 (2011) |
| Telephones - mobile cellular: | 1.353 million (2011) |
| Telephone system: | general assessment: fairly modern communication facilities maintained for domestic and international services |
| Telephone system: | domestic: termination of monopoly over mobile-cellular telephone services in 2001 spurred sharp increase in subscriptions with mobile-cellular teledensity exceeding 200 per 100 persons; fixed-line subscribership appears to have peaked and is now in decline |
| Telephone system: | international: country code - 853; landing point for the SEA-ME-WE-3 submarine cable network that provides links to Asia, the Middle East, and Europe; HF radiotelephone communication facility; satellite earth station - 1 Intelsat (Indian Ocean) |
| Broadcast media: | local government dominates broadcast media; 2 television stations operated by the government with one broadcasting in Portuguese and the other in Cantonese and Mandarin; cable and satellite TV services available; 3 radio stations broadcasting, of which 2 are government-operated (2010) |
| Internet country code: | .mo |
| Internet hosts: | 327 (2012) |
| Internet users: | 270,200 (2009) |
