| Communications | MACAU |
| --- | --- |
| Telephones - fixed lines: | total: 160,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 28 (2012) |
| Telephones - mobile cellular: | total: 1.6 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 279 (2012) |
| Telephone system: | general assessment: fairly modern communication facilities maintained for domestic and international services |
| Telephone system: | domestic: termination of monopoly over mobile-cellular telephone services in 2001 spurred sharp increase in subscriptions with mobile-cellular teledensity exceeding 200 per 100 persons; fixed-line subscribership appears to have peaked and is now in decline |
| Telephone system: | international: country code - 853; landing point for the SEA-ME-WE-3 submarine cable network that provides links to Asia, the Middle East, and Europe; HF radiotelephone communication facility; satellite earth station - 1 Intelsat (Indian Ocean) (2011) |
| Broadcast media: | local government dominates broadcast media; 2 television stations operated by the government with one broadcasting in Portuguese and the other in Cantonese and Mandarin; 1 cable TV and 4 satellite TV services available; 3 radio stations broadcasting, of which 2 are government-operated (2012) |
| Radio broadcast stations: | AM 1, FM 2, shortwave 0 (2009) |
| Television broadcast stations: | 1 (2009) |
| Internet country code: | .mo |
| Internet users: | total: 270,200 |
| Internet users: | percent of population: 48.3% (2009) |
