| Communications | MEXICO |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 19,886,949 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 16 (July 2015 est.) |
| Telephones - mobile cellular: | total: 106.831 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 88 (July 2015 est.) |
| Telephone system: | general assessment: adequate telephone service for business and government; improving quality and increasing mobile cellular availability, with mobile subscribers far outnumbering fixed-line subscribers; domestic satellite system with 120 earth stations; extensive microwave radio relay network; considerable use of fiber-optic cable and coaxial cable |
| Telephone system: | domestic: competition has spurred the mobile-cellular market; fixed-line teledensity is less than 20 per 100 persons; mobile-cellular teledensity is about 90 per 100 persons |
| Telephone system: | international: country code - 52; Columbus-2 fiber-optic submarine cable with access to the US, Virgin Islands, Canary Islands, Spain, and Italy; the Americas Region Caribbean Ring System (ARCOS-1) and the MAYA-1 submarine cable system together provide access to Central America, parts of South America and the Caribbean, and the US; satellite earth stations - 120 (32 Intelsat, 2 Solidaridad (giving Mexico improved access to South America, Central America, and much of the US as well as enhancing domestic communications), 1 Panamsat, numerous Inmarsat mobile earth stations); linked to Central American Microwave System of trunk connections (2015) |
| Broadcast media: | many TV stations and more than 1,400 radio stations with most privately owned; the Televisa group once had a virtual monopoly in TV broadcasting, but new broadcasting groups and foreign satellite and cable operators are now available (2012) |
| Internet country code: | .mx |
| Internet users: | total: 69.915 million |
| Internet users: | percent of population: 57.4% (July 2015 est.) |
