| Communications | Gabon |
| --- | --- |
| Telephones - main lines in use: | 30,400 (2010) |
| Telephones - mobile cellular: | 1.61 million (2010) |
| Telephone system: | general assessment: adequate system of cable, microwave radio relay, tropospheric scatter, radiotelephone communication stations, and a domestic satellite system with 12 earth stations |
| Telephone system: | domestic: a growing mobile-cellular network with multiple providers is making telephone service more widely available; subscribership reached 90 per 100 persons in 2009 |
| Telephone system: | international: country code - 241; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 3 Intelsat (Atlantic Ocean) (2009) |
| Broadcast media: | state owns and operates 2 TV stations and 2 radio broadcast stations; a few private radio and TV stations are operational; transmissions of at least 2 international broadcasters are accessible; satellite service subscriptions are available (2007) |
| Internet country code: | .ga |
| Internet hosts: | 90 (2010) |
| Internet users: | 98,800 (2009) |
