| Communications | Gabon |
| --- | --- |
| Telephones - main lines in use: | 39,000 (1998) |
| Telephones - mobile cellular: | 120,000 (2000) |
| Telephone system: | general assessment: adequate service by African standards and improving with the help of the growing mobile cell system |
| Telephone system: | domestic: adequate system of cable, microwave radio relay, tropospheric scatter, radiotelephone communication stations, and a domestic satellite system with 12 earth stations |
| Telephone system: | international: satellite earth stations - 3 Intelsat (Atlantic Ocean); fiber optic submarine cable to be in service in 2002 |
| Radio broadcast stations: | AM 6, FM 7 (and 11 repeaters), shortwave 4 (2001) |
| Radios: | 208,000 (1997) |
| Television broadcast stations: | 4 (plus four low-powered repeaters) (2001) |
| Televisions: | 63,000 (1997) |
| Internet country code: | .ga |
| Internet Service Providers (ISPs): | 1 (2001) |
| Internet users: | 18,000 (2002) |
