| Communications | GABON |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 18,758 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 2.958 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 173 (July 2015 est.) |
| Telephone system: | general assessment: adequate system of cable, microwave radio relay, tropospheric scatter, radiotelephone communication stations, and a domestic satellite system with 12 earth stations |
| Telephone system: | domestic: a growing mobile cellular network with multiple providers is making telephone service more widely available with mobile cellular teledensity exceeding 170 per 100 persons |
| Telephone system: | international: country code - 241; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 3 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | state owns and operates 2 TV stations and 2 radio broadcast stations; a few private radio and TV stations; transmissions of at least 2 international broadcasters are accessible; satellite service subscriptions are available (2007) |
| Internet country code: | .ga |
| Internet users: | total: 401,000 |
| Internet users: | percent of population: 23.5% (July 2015 est.) |
