| Communications | Madagascar |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 68,426 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 10,677,153 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 40.57 (2019 est.) |
| Telecommunication systems: | general assessment: system is above average for the region; competition among theÂ four mobile service providers has spurred recent growth in the mobile market and helped the service to be less expensive for the consumer; 3G and LTE services available; Telecom service tax raised to 10% (2020) |
| Telecommunication systems: | domestic: less than 1 per 100 for fixed-line and mobile-cellular teledensity aboutÂ 41 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 261; landing points for the EASSy, METISS, and LION fiber-optic submarine cable systems connecting to numerous Indian Ocean Islands, South Africa, and Eastern African countries; satellite earth stations - 2 (1 Intelsat - Indian Ocean, 1 Intersputnik - Atlantic Ocean region) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned Radio Nationale Malagasy (RNM) and Television Malagasy (TVM) have an extensive national network reach; privately owned radio and TV broadcasters in cities and major towns; state-run radio dominates in rural areas; relays of 2 international broadcasters are available in Antananarivo (2019) |
| Internet country code: | .mg |
| Internet users: | total: 2,516,994 |
| Internet users: | percent of population: 9.8% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 27,211 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
