| Communications | Madagascar |
| --- | --- |
| Telephones - main lines in use: | 172,200 (2010) |
| Telephones - mobile cellular: | 8.242 million (2010) |
| Telephone system: | general assessment: system is above average for the region; Antananarivo's main telephone exchange modernized in the late 1990s, but the rest of the analogue-based telephone system is poorly developed; have been adding fixed line connections since 2005 |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity about 30 per 100 persons |
| Telephone system: | international: country code - 261; SEACOM undersea fiber-optic cable and the Lion undersea cable connecting to Reunion and Mauritius; satellite earth stations - 2 (1 Intelsat - Indian Ocean, 1 Intersputnik - Atlantic Ocean region) (2009) |
| Broadcast media: | state-owned Radio Nationale Malagasy (RNM) and Television Malagasy (TVM) have an extensive national network reach; privately-owned radio and TV broadcasters in cities and major towns; state-run radio predominates in rural areas; relays of 2 international broadcasters are available in Antananarivo (2007) |
| Internet country code: | .mg |
| Internet hosts: | 27,606 (2010) |
| Internet users: | 319,900 (2009) |
