| Communications | Madagascar |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 68,792 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,730,499 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 35 (2017 est.) |
| Telephone system: | general assessment: system is above average for the region; competition among theÂ four mobile service providers has spurred recent growth in the mobile market and helped the service to be less expensive for the consumer; LTE services available (2018) |
| Telephone system: | domestic: less than 1 per 100 for fixed-line and mobile-cellular teledensity aboutÂ 35 per 100 persons (2018) |
| Telephone system: | international: country code - 261; landing points for the EASSy, METISS, and LION fiber-optic submarine cable systems connecting to numerous Indian Ocean Islands, South Africa, and Eastern African countries; satellite earth stations - 2 (1 Intelsat - Indian Ocean, 1 Intersputnik - Atlantic Ocean region) (2019) |
| Broadcast media: | state-owned Radio Nationale Malagasy (RNM) and Television Malagasy (TVM) have an extensive national network reach; privately owned radio and TV broadcasters in cities and major towns; state-run radio dominates in rural areas; relays of 2 international broadcasters are available in Antananarivo (2019) |
| Internet country code: | .mg |
| Internet users: | total: 1,151,563 |
| Internet users: | percent of population: 4.7% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 25,062 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
