| Communications | Togo |
| --- | --- |
| Telephones - main lines in use: | 140,900 (2008) |
| Telephones - mobile cellular: | 1.547 million (2008) |
| Telephone system: | general assessment: fair system based on a network of microwave radio relay routes supplemented by open-wire lines and a mobile-cellular system |
| Telephone system: | domestic: microwave radio relay and open-wire lines for conventional system; combined fixed-line and mobile-cellular teledensity roughly 30 telephones per 100 persons |
| Telephone system: | international: country code - 228; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Symphonie |
| Radio broadcast stations: | AM 2, FM 9, shortwave 4 (1998) |
| Television broadcast stations: | 3 (plus 2 repeaters) (1997) |
| Internet country code: | .tg |
| Internet hosts: | 784 (2009) |
| Internet users: | 350,000 (2008) |
