| Communications | Togo |
| --- | --- |
| Telephones - main lines in use: | 178,700 (2009) |
| Telephones - mobile cellular: | 2.187 million (2009) |
| Telephone system: | general assessment: fair system based on a network of microwave radio relay routes supplemented by open-wire lines and a mobile-cellular system |
| Telephone system: | domestic: microwave radio relay and open-wire lines for conventional system; combined fixed-line and mobile-cellular teledensity roughly 40 telephones per 100 persons with mobile-cellular use predominating |
| Telephone system: | international: country code - 228; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Symphonie |
| Broadcast media: | 2 state-owned TV stations with multiple transmission sites; 5 private TV stations broadcast locally; cable TV service is available; state-owned radio network with multiple stations; several dozen private radio stations and a few community radio stations; transmissions of multiple international broadcasters are obtainable (2007) |
| Internet country code: | .tg |
| Internet hosts: | 860 (2010) |
| Internet users: | 356,300 (2009) |
