| Communications | LESOTHO |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 41,158 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (July 2016 est.) |
| Telephones - mobile cellular: | total: 2,282,917 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 117 (July 2016 est.) |
| Telephone system: | general assessment: rudimentary system consisting of a modest number of landlines, a small microwave radio relay system, and a small radiotelephone communication system; mobile-cellular telephone system is expanding |
| Telephone system: | domestic: Econet Telecom Lesotho provides telecom services; fixed-line density is low; mobile-cellular service dominates the market with a subscribership now over 115 per 100 persons |
| Telephone system: | international: country code - 266; satellite earth station - 1 Intelsat (Atlantic Ocean) (2016) |
| Broadcast media: | 1 state-owned TV station and 2 state-owned radio stations; government controls most private broadcast media; satellite TV subscription service available; transmissions of multiple international broadcasters obtainable (2008) |
| Internet country code: | .ls |
| Internet users: | total: 534,360 |
| Internet users: | percent of population: 27.4% (July 2016 est.) |
