| Communications | Central African Republic |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,934 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 1,892,114 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 32.25 (2019 est.) |
| Telecommunication systems: | general assessment: network consists principally of microwave radio relay and at low-capacity; ongoing conflict hasÂ obstructedÂ telecommunication and media development,Â although there areÂ ISP (Internet service providers) and mobile phone carriers,Â radio is the most-popular communications medium (2018) |
| Telecommunication systems: | domestic: very limited telephone service with less than 1 fixed-line connection per 100 persons; with the presence of multiple providers mobile-cellular service has reached 33 per 100 mobile-cellular subscribers; cellular usage is increasing from a low base; most fixed-line and mobile-cellular telephone services are concentrated in Bangui (2019) |
| Telecommunication systems: | international: country code - 236; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | government-owned network, Radiodiffusion Television Centrafricaine, provides limited domestic TV broadcasting; state-owned radio network is supplemented by a small number of privately owned broadcast stations as well as a few community radio stations; transmissions of at least 2 international broadcasters are available (2017) |
| Internet country code: | .cf |
| Internet users: | total: 249,336 |
| Internet users: | percent of population: 4.34% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 608 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
