| Communications | CAMBODIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 227,261 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1.5 (July 2016 est.) |
| Telephones - mobile cellular: | total: 19,915,503 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 125 (July 2016 est.) |
| Telephone system: | general assessment: adequate fixed-line and/or cellular service in Phnom Penh and other provincial cities; mobile-cellular phone systems are widely used in urban areas to bypass deficiencies in the fixed-line network; mobile-phone coverage is rapidly expanding in rural areas |
| Telephone system: | domestic: fixed-line connections stand at about 1.5 per 100 persons; mobile-cellular usage, aided by competition among service providers, has increased to about 125 per 100 persons |
| Telephone system: | international: country code - 855; adequate but expensive landline and cellular service available to all countries from Phnom Penh and major provincial cities; satellite earth station - 1 Intersputnik (Indian Ocean region) (2016) |
| Broadcast media: | mixture of state-owned, joint public-private, and privately owned broadcast media; 9 TV broadcast stations with most operating on multiple channels, including 1 state-operated station broadcasting from multiple locations, 6 stations either jointly operated or privately owned with some broadcasting from several locations, and 2 TV relay stations - one relaying a French TV station and the other relaying a Vietnamese TV station; multi-channel cable and satellite systems are available; roughly 50 radio broadcast stations - 1 state-owned broadcaster with multiple stations and a large mixture of public and private broadcasters; several international broadcasters are available (2009) |
| Internet country code: | .kh |
| Internet users: | total: 4,080,372 |
| Internet users: | percent of population: 25.6% (July 2016 est.) |
