| Communications | BELIZE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 23,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (July 2016 est.) |
| Telephones - mobile cellular: | total: 227,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 64 (July 2016 est.) |
| Telephone system: | general assessment: above-average system; trunk network depends primarily on microwave radio relay |
| Telephone system: | domestic: fixed-line teledensity of only about 6 per 100 persons; mobile-cellular teledensity approaching 65 per 100 persons |
| Telephone system: | international: country code - 501; landing point for the Americas Region Caribbean Ring System (ARCOS-1) fiber-optic telecommunications submarine cable that provides links to South and Central America, parts of the Caribbean, and the US; satellite earth station - 8 (Intelsat - 2, unknown - 6) (2016) |
| Broadcast media: | 8 privately owned TV stations; multi-channel cable TV provides access to foreign stations; about 25 radio stations broadcasting on roughly 50 different frequencies; state-run radio was privatized in 1998 (2009) |
| Internet country code: | .bz |
| Internet users: | total: 157,735 |
| Internet users: | percent of population: 44.6% (July 2016 est.) |
