| Communications | Marshall Islands |
| --- | --- |
| Telephones - main lines in use: | 4,500 (2004) |
| Telephones - mobile cellular: | 700 (2005) |
| Telephone system: | general assessment: digital switching equipment; modern services include telex, cellular, Internet, international calling, caller ID, and leased data circuits |
| Telephone system: | domestic: Majuro Atoll and Ebeye and Kwajalein islands have regular, seven-digit, direct-dial telephones; other islands interconnected by high frequency radiotelephone (used mostly for government purposes) and mini-satellite telephones |
| Telephone system: | international: country code - 692; satellite earth stations - 2 Intelsat (Pacific Ocean); US Government satellite communications system on Kwajalein (2005) |
| Radio broadcast stations: | AM 1, FM 3, shortwave 0 (additionally, the US Armed Forces Radio and Television Services (Central Pacific Network) operate one FM and one AM station on Kwajalein) (2005) |
| Radios: | NA |
| Television broadcast stations: | 2 (both are US military stations; Marshalls Broadcasting Service, a cable company, operates on Majuro) (2005) |
| Televisions: | NA |
| Internet country code: | .mh |
| Internet hosts: | 3 (2008) |
| Internet Service Providers (ISPs): | 1 (2002) |
| Internet users: | 2,200 (2006) |
