| Communications | MARSHALL ISLANDS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,361 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (July 2016 est.) |
| Telephones - mobile cellular: | total: 16,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 21 (July 2016 est.) |
| Telephone system: | general assessment: some telecom infrastructure improvements made in recent years; modern services include telex, cellular, Internet, international calling, caller ID, and leased data circuits |
| Telephone system: | domestic: Majuro Atoll and Ebeye and Kwajalein islands have regular, seven-digit, direct-dial telephones; other islands interconnected by high frequency radiotelephone (used mostly for government purposes) and mini-satellite telephones |
| Telephone system: | international: country code - 692; satellite earth stations - 2 Intelsat (Pacific Ocean); US Government satellite communications system on Kwajalein (2016) |
| Broadcast media: | no TV broadcast station; a cable network is available on Majuro with programming via videotape replay and satellite relays; 4 radio broadcast stations; American Armed Forces Radio and Television Service (AFRTS) provides satellite radio and television service to Kwajalein Atoll (2009) |
| Internet country code: | .mh |
| Internet users: | total: 21,857 |
| Internet users: | percent of population: 29.8% (July 2016 est.) |
