| Communications | Marshall Islands |
| --- | --- |
| Telephones - main lines in use: | 4,400 (2010) |
| Telephones - mobile cellular: | 3,800 (2010) |
| Telephone system: | general assessment: digital switching equipment; modern services include telex, cellular, Internet, international calling, caller ID, and leased data circuits |
| Telephone system: | domestic: Majuro Atoll and Ebeye and Kwajalein islands have regular, seven-digit, direct-dial telephones; other islands interconnected by high frequency radiotelephone (used mostly for government purposes) and mini-satellite telephones |
| Telephone system: | international: country code - 692; satellite earth stations - 2 Intelsat (Pacific Ocean); US Government satellite communications system on Kwajalein (2005) |
| Broadcast media: | no TV broadcast station; a cable network is available on Majuro with programming via videotape replay and satellite relays; 4 radio broadcast stations; American Armed Forces Radio and Television Service (AFRTS) provides satellite radio and television service to Kwajalein Atoll (2009) |
| Internet country code: | .mh |
| Internet hosts: | 3 (2012) |
| Internet users: | 2,200 (2009) |
