| Communications | Northern Mariana Islands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 20,398 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 39.44 (2019 est.) |
| Telecommunication systems: | general assessment: digital fiber-optic cables and satellites connect the islands to worldwide networks; demand for broadband growing given that mobile services are the source for Internet across region; future launch of 5G (2020) |
| Telecommunication systems: | domestic: wide variety of services available including dial-up and broadband Internet, mobile cellular, international private lines, payphones, phone cards, voicemail, and automatic call distribution systems; fixed-line teledensity 39 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 1-670; landing points for the Atisa and Mariana-Guam submarine cables linking Mariana islands to Guam; satellite earth stations - 2 Intelsat (Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 TV broadcast station on Saipan; multi-channel cable TV services are available on Saipan; 9 licensed radio broadcast stations (2009) |
| Internet country code: | .mp |
| Internet users: | total: 16,000 |
| Internet users: | percent of population: 30.6% (July 2016 est.) |
