| Communications | MALAWI |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 11,234 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total: 7,178,384 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 39 (July 2016 est.) |
| Telephone system: | general assessment: rudimentary; one fixed-line and two mobile-cellular operators govern the market |
| Telephone system: | domestic: limited fixed-line subscribership of about 1 per 100 households; mobile-cellular services are expanding but network coverage is limited and is based around the main urban areas; mobile-cellular subscribership approaching 40 per 100 households |
| Telephone system: | international: country code - 265; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Atlantic Ocean) (2016) |
| Broadcast media: | radio is the main broadcast medium; privately owned Zodiak radio has the widest national broadcasting reach, followed by state-run radio; numerous private and community radio stations broadcast in cities and towns around the country; the largest TV network is government-owned, but at least 4 private TV networks broadcast in urban areas; relays of multiple international broadcasters are available (2017) |
| Internet country code: | .mw |
| Internet users: | total: 1,785,369 |
| Internet users: | percent of population: 9.6% (July 2016 est.) |
